Point,Easting,Northing,Elevation
P1,94.58,97.47,94.85
P2,102.65,124.26,95.3
P3,96.47,154.61,95.35
P4,97.63,191.97,95.64
P5,97.7,221.0,95.75
P6,94.83,254.41,95.91
P7,95.6,276.14,96.07
P8,99.95,314.36,96.54
P9,138.11,105.65,95.77
P10,138.11,128.61,95.96
P11,133.9,162.56,96.21
P12,132.25,194.25,96.32
P13,139.96,223.13,96.37
P14,135.2,246.01,96.2
P15,132.58,277.41,96.35
P16,132.93,309.52,96.96
P17,170.53,96.61,96.22
P18,173.6,132.72,96.82
P19,174.19,157.21,97.12
P20,171.38,191.83,97.3
P21,168.64,218.92,97.06
P22,173.72,251.2,97.04
P23,174.78,279.88,97.17
P24,173.94,314.31,97.75
P25,208.46,104.65,97.12
P26,207.39,129.45,97.47
P27,202.67,163.84,97.97
P28,200.68,188.82,98.29
P29,201.77,221.09,98.28
P30,209.64,247.93,98.32
P31,208.66,283.57,98.32
P32,206.99,306.93,98.42
P33,243.83,99.61,97.73
P34,242.87,129.53,98.26
P35,244.37,162.43,98.94
P36,236.02,186.15,99.23
P37,244.2,218.38,99.54
P38,238.57,244.49,99.31
P39,241.61,283.65,99.21
P40,244.77,306.34,99.3
P41,279.29,96.12,98.36
P42,273.48,128.59,98.72
P43,275.85,160.13,99.47
P44,275.35,190.28,99.96
P45,280.18,216.96,100.13
P46,271.5,253.79,99.94
P47,272.65,282.1,99.89
P48,280.08,304.84,100.11
P49,313.38,94.42,98.88
P50,310.11,129.27,99.31
P51,312.29,163.35,99.96
P52,304.57,184.89,100.11
P53,311.26,222.55,100.52
P54,305.81,251.38,100.32
P55,305.81,279.54,100.32
P56,315.76,314.12,100.64
P57,347.3,99.55,99.48
P58,350.0,132.79,99.94
P59,339.03,162.08,100.09
P60,345.94,189.75,100.52
P61,344.23,218.36,100.7
P62,342.41,253.26,100.83
P63,347.59,275.95,101.0
P64,348.13,313.43,101.24
