Point,Easting,Northing,Elevation
P1,99.5,97.7,149.03
P2,96.78,122.33,159.33
P3,103.81,145.34,169.1
P4,101.52,172.32,180.39
P5,102.19,202.15,193.13
P6,103.56,219.55,200.48
P7,104.95,246.57,211.99
P8,97.64,280.87,225.95
P9,126.23,105.86,152.68
P10,133.0,121.67,159.44
P11,125.77,150.19,171.79
P12,128.73,169.84,180.24
P13,128.06,194.13,191.02
P14,133.21,229.5,206.64
P15,130.4,245.01,212.77
P16,133.89,275.05,225.5
P17,164.58,96.09,148.53
P18,158.84,128.99,162.81
P19,165.74,151.43,172.56
P20,164.44,171.99,181.65
P21,161.72,197.61,194.0
P22,156.94,225.55,205.84
P23,155.44,248.12,214.6
P24,161.58,278.98,227.43
P25,188.26,96.82,148.85
P26,193.62,126.24,161.27
P27,189.92,155.2,173.74
P28,191.84,177.15,183.37
P29,187.74,195.44,192.99
P30,185.86,228.19,206.53
P31,190.15,249.54,214.27
P32,193.03,280.41,226.86
P33,215.64,105.39,152.2
P34,215.39,130.88,162.79
P35,219.28,145.71,168.98
P36,222.07,172.18,179.96
P37,220.88,195.36,191.75
P38,224.32,219.04,202.27
P39,220.41,249.47,212.09
P40,219.5,277.45,223.86
P41,244.49,96.66,148.35
P42,248.16,130.5,162.36
P43,249.68,151.45,170.77
P44,248.51,173.41,179.76
P45,250.59,200.33,192.78
P46,254.27,227.91,202.58
P47,250.85,251.78,211.54
P48,244.18,269.87,219.37
P49,280.96,104.76,151.82
P50,277.92,122.45,158.87
P51,278.45,149.95,170.07
P52,278.58,169.39,177.91
P53,279.41,205.38,193.86
P54,278.81,230.76,203.1
P55,280.95,252.98,212.09
P56,276.75,279.53,223.24
P57,309.64,100.29,150.05
P58,315.16,119.22,158.15
P59,308.65,144.14,168.35
P60,307.84,179.4,182.84
P61,315.5,197.86,191.11
P62,312.08,227.2,203.1
P63,312.29,249.48,212.24
P64,314.77,280.69,225.47
P65,343.09,96.36,148.57
P66,340.15,130.29,162.91
P67,340.92,151.62,172.18
P68,337.38,177.97,183.49
P69,341.35,198.39,192.55
P70,338.2,220.93,202.09
P71,336.37,253.49,215.63
P72,339.29,280.16,226.93
