Point,Easting,Northing,Elevation
P1,94.07,103.92,116.60
P2,99.14,143.13,125.37
P3,106.69,180.54,129.19
P4,100.02,214.01,129.89
P5,96.76,260.00,130.49

P64,101.45,123.54,119.24
P65,103.12,158.77,127.83
P66,104.56,196.42,129.56
P67,102.18,238.11,130.12
P68,99.74,282.43,130.75

P69,122.35,119.42,118.42
P70,126.87,157.22,121.36
P71,132.55,198.64,128.91
P72,129.86,241.33,131.72
P73,134.12,282.67,132.44

P74,161.22,118.65,120.14
P75,165.84,158.91,121.55
P76,171.46,202.73,126.92
P77,169.33,244.58,130.44
P78,176.82,283.21,132.18

P79,210.53,121.33,119.26
P80,214.21,156.87,118.72
P81,220.44,204.33,122.81
P82,218.56,243.88,129.24
P83,224.19,285.74,131.66

P84,263.54,121.89,120.88
P85,267.82,160.33,120.04
P86,271.45,204.52,122.44
P87,269.72,241.77,128.74
P88,275.96,282.21,134.12

P89,305.41,120.44,120.91
P90,309.77,160.11,122.31
P91,314.63,201.88,124.77
P92,312.88,242.51,132.56
P93,316.21,286.34,138.20

P94,351.26,121.55,121.33
P95,354.91,162.44,123.94
P96,359.82,205.73,127.86
P97,357.42,245.64,134.58
P98,362.33,286.91,141.23
