Point,Easting,Northing,Elevation
P1,0,0,27.84
P2,20,0,28.21
P3,40,0,28.76
P4,60,0,29.15
P5,80,0,29.72
P6,100,0,30.18
P7,120,0,30.64
P8,140,0,31.22
P9,160,0,31.71
P10,180,0,32.08

P11,200,0,32.44
P12,220,0,32.91
P13,240,0,33.26
P14,260,0,33.74
P15,280,0,34.11
P16,300,0,34.58
P17,320,0,35.02
P18,340,0,35.46
P19,360,0,35.83
P20,380,0,36.21

P21,0,20,28.63
P22,20,20,29.12
P23,40,20,29.67
P24,60,20,30.24
P25,80,20,30.88
P26,100,20,31.36
P27,120,20,31.92
P28,140,20,32.41
P29,160,20,32.96
P30,180,20,33.41

P31,200,20,33.88
P32,220,20,34.31
P33,240,20,34.82
P34,260,20,35.29
P35,280,20,35.84
P36,300,20,36.27
P37,320,20,36.71
P38,340,20,37.16
P39,360,20,37.72
P40,380,20,38.14

P41,0,40,29.45
P42,20,40,30.02
P43,40,40,30.61
P44,60,40,31.15
P45,80,40,31.74
P46,100,40,32.28
P47,120,40,32.91
P48,140,40,33.52
P49,160,40,34.08
P50,180,40,34.62

P51,200,40,35.14
P52,220,40,35.69
P53,240,40,36.18
P54,260,40,36.72
P55,280,40,37.28
P56,300,40,37.81
P57,320,40,38.35
P58,340,40,38.88
P59,360,40,39.41
P60,380,40,39.86

P61,0,60,30.18
P62,20,60,30.84
P63,40,60,31.45
P64,60,60,32.06
P65,80,60,32.74
P66,100,60,33.32
P67,120,60,33.96
P68,140,60,34.61
P69,160,60,35.24
P70,180,60,35.82

P71,200,60,36.39
P72,220,60,36.95
P73,240,60,37.52
P74,260,60,38.08
P75,280,60,38.64
P76,300,60,39.22
P77,320,60,39.78
P78,340,60,40.31
P79,360,60,40.88
P80,380,60,41.44

P81,0,80,31.04
P82,20,80,31.68
P83,40,80,32.34
P84,60,80,32.97
P85,80,80,33.61
P86,100,80,34.29
P87,120,80,34.91
P88,140,80,35.56
P89,160,80,36.19
P90,180,80,36.82

P91,200,80,37.46
P92,220,80,38.08
P93,240,80,38.71
P94,260,80,39.35
P95,280,80,39.98
P96,300,80,40.62
P97,320,80,41.25
P98,340,80,41.88
P99,360,80,42.52
P100,380,80,43.16

P101,0,100,31.82
P102,20,100,32.47
P103,40,100,33.15
P104,60,100,33.82
P105,80,100,34.51
P106,100,100,35.16
P107,120,100,35.74
P108,140,100,36.42
P109,160,100,37.08
P110,180,100,37.71

P111,200,100,38.32
P112,220,100,38.95
P113,240,100,39.58
P114,260,100,40.21
P115,280,100,40.83
P116,300,100,41.42
P117,320,100,42.06
P118,340,100,42.68
P119,360,100,43.24
P120,380,100,43.91

P121,0,120,32.71
P122,20,120,33.34
P123,40,120,34.02
P124,60,120,34.66
P125,80,120,35.31
P126,100,120,35.96
P127,120,120,36.62
P128,140,120,37.28
P129,160,120,37.92
P130,180,120,38.57

P131,200,120,39.18
P132,220,120,39.84
P133,240,120,40.47
P134,260,120,41.12
P135,280,120,41.74
P136,300,120,42.39
P137,320,120,43.02
P138,340,120,43.64
P139,360,120,44.28
P140,380,120,44.91

P141,0,140,33.55
P142,20,140,34.21
P143,40,140,34.87
P144,60,140,35.49
P145,80,140,36.17
P146,100,140,36.82
P147,120,140,37.46
P148,140,140,38.11
P149,160,140,38.76
P150,180,140,39.41

P151,200,140,40.06
P152,220,140,40.69
P153,240,140,41.34
P154,260,140,41.98
P155,280,140,42.63
P156,300,140,43.27
P157,320,140,43.89
P158,340,140,44.55
P159,360,140,45.18
P160,380,140,45.84

P161,0,160,34.38
P162,20,160,35.05
P163,40,160,35.72
P164,60,160,36.34
P165,80,160,36.98
P166,100,160,37.61
P167,120,160,38.27
P168,140,160,38.91
P169,160,160,39.55
P170,180,160,40.18

P171,200,160,40.82
P172,220,160,41.47
P173,240,160,42.12
P174,260,160,42.74
P175,280,160,43.39
P176,300,160,44.04
P177,320,160,44.66
P178,340,160,45.31
P179,360,160,45.96
P180,380,160,46.61

P181,0,180,35.22
P182,20,180,35.89
P183,40,180,36.55
P184,60,180,37.18
P185,80,180,37.82
P186,100,180,38.46
P187,120,180,39.11
P188,140,180,39.76
P189,160,180,40.42
P190,180,180,41.04

P191,200,180,41.69
P192,220,180,42.33
P193,240,180,42.97
P194,260,180,43.62
P195,280,180,44.26
P196,300,180,44.91
P197,320,180,45.55
P198,340,180,46.19
P199,360,180,46.84
P200,380,180,47.49

P201,0,200,36.06
P202,20,200,36.71
P203,40,200,37.36
P204,60,200,38.02
P205,80,200,38.67
P206,100,200,39.31
P207,120,200,39.96
P208,140,200,40.61
P209,160,200,41.26
P210,180,200,41.92

P211,200,200,42.57
P212,220,200,43.21
P213,240,200,43.86
P214,260,200,44.51
P215,280,200,45.17
